csv_reference,csv_description,action,existing_reference,existing_description
M48FD,48AH,CREATE,,
M50JD,50AH,CREATE,,
M50ED,50AH,CREATE,,
M50EX,50AH,CREATE,,
M60GD,60AH,CREATE,,
M70KD,70AH,CREATE,,
MF72LD,72AH,CREATE,,
M75LD,75AH,CREATE,,
M80RD,80AH,CREATE,,
M90TD,90AH,CREATE,,
M100HE,100AH,CREATE,,
M150BD,150AH,CREATE,,
Z45D,45AH,CREATE,,
Z50D,50AH,CREATE,,
Z50ED,50AH,CREATE,,
Z60D,60AH,CREATE,,
Z70D,70AH,CREATE,,
Z100E,100AH,CREATE,,
Z150D,150AH,CREATE,,
